tv_day,cluster_id,device_id,rank,distance
2023-03-01,3528544,37f2bf4d-b4e0-4369-b2bf-4db4e0c3694f,12,5.35853E-4
2023-03-01,3531818,689ddc51-2298-420f-9ddc-512298d20fb7,1,0.075753464
2023-03-01,3531818,2dcbfd60-507f-4ae3-8bfd-60507f7ae3bf,2,0.066883939
2023-03-01,3531818,29b52079-0c71-4153-b520-790c71015366,3,0.078357459
2023-03-01,3531818,2d906316-dcbf-45bc-9063-16dcbf05bcae,4,0.076835756
2023-03-01,3531818,8699274a-057e-4e59-9927-4a057efe5939,5,0.068910748
2023-03-01,3531818,868b7524-5d7a-4f4e-8b75-245d7acf4ea0,6,0.071001278
2023-03-01,3531818,608110ba-22be-4c01-8110-ba22beec01dc,7,0.071378169
2023-03-01,3531818,fdb44f0a-3f9d-4b70-b44f-0a3f9dcb7074,8,0.064876874
2023-03-01,3531818,2aa1b7bd-7c15-4d0b-a1b7-bd7c15fd0b3c,9,0.074230371
2023-03-01,3531818,de079395-a595-4a26-8793-95a595da26d9,10,0.089408891
2023-03-01,3531828,2bf0c9f2-de66-4614-b0c9-f2de66b614ca,1,0.079235672
2023-03-01,3531828,12f1c396-6d5e-4ba7-b1c3-966d5e9ba761,2,0.09197962
2023-03-01,3531828,61aa60f8-5a7e-4af7-aa60-f85a7e7af7bd,4,0.075301587
2023-03-01,3531828,38b67f6b-f5fd-46a7-b67f-6bf5fd56a7e4,5,0.078170575
2023-03-01,3531828,53e64f18-dc4b-444e-a64f-18dc4bc44eaa,6,0.078684555
2023-03-01,3531828,99962568-d9cb-4ba6-9625-68d9cbbba69d,7,0.082346939
2023-03-01,3531828,d583edf5-d92c-49b9-83ed-f5d92ca9b9c2,8,0.080494823
2023-03-01,3531828,fd46900e-68f1-4dda-8690-0e68f19dda69,9,0.083047132
2023-03-01,3531828,5314ef58-f323-4d45-94ef-58f323bd454f,10,0.073804863
2023-03-01,3531828,87883385-172e-4f2c-8833-85172ebf2cd5,12,0.073864238
2023-03-01,3531843,8aa5bf84-db1f-4900-a5bf-84db1f890030,1,0.091051755
2023-03-01,3531843,f7b311cf-2b08-48f3-b311-cf2b0838f3e3,2,0.079501787
2023-03-01,3531843,af955a9a-7267-4cf0-955a-9a72672cf072,3,0.075486298
2023-03-01,3531843,38b67f6b-f5fd-46a7-b67f-6bf5fd56a7e4,4,0.078170575
2023-03-01,3531843,876b6180-b1ce-4d63-ab61-80b1cebd63e3,5,0.10386077
2023-03-01,3531843,f379e6d2-45aa-4bdb-b9e6-d245aa9bdbd4,6,0.07864723
2023-03-01,3531843,8699274a-057e-4e59-9927-4a057efe5939,7,0.068910748
2023-03-01,3531843,70992c13-85ae-4ef5-992c-1385ae2ef573,8,0.089617487
2023-03-01,3531843,d47514ae-943e-4dac-b514-ae943ecdac99,9,0.104019212
2023-03-01,3531843,61aa60f8-5a7e-4af7-aa60-f85a7e7af7bd,10,0.075301587
2023-03-01,3531850,f140fcd5-b57b-459f-80fc-d5b57b659fec,1,0.079464089
2023-03-01,3531850,a96a1c7b-e6f6-4e23-aa1c-7be6f60e23d6,2,0.089521137
2023-03-01,3531850,93d23beb-2e63-4bae-923b-eb2e631bae60,3,0.081633697
2023-03-01,3531850,130eba81-3a0f-45f0-8eba-813a0fb5f0fc,4,0.092235792
2023-03-01,3531850,4aa79fd8-abf5-45d8-a79f-d8abf5e5d86c,5,0.097885116
2023-03-01,3531850,8699274a-057e-4e59-9927-4a057efe5939,7,0.068910748
2023-03-01,3531850,eaba827e-e07a-4b22-ba82-7ee07a4b2262,8,0.091222045
2023-03-01,3531850,de079395-a595-4a26-8793-95a595da26d9,9,0.089408891
2023-03-01,3531850,6eb640a5-ba03-477d-b640-a5ba03177d62,10,0.092950776
2023-03-01,3531850,c080560f-1602-4f7a-8056-0f16020f7a1a,11,0.073305179
2023-03-01,3532138,62cd77f7-a33b-46c2-8d77-f7a33b16c23a,1,6.4517E-5
2023-03-01,3532138,d179b39d-5720-4344-b9b3-9d5720734409,2,6.8567E-5
2023-03-01,3532138,c2803887-22f3-4db5-8038-8722f31db58e,3,8.2755E-5
2023-03-01,3532138,7347fabb-2cbd-49f6-87fa-bb2cbd89f6e1,4,7.086E-5
2023-03-01,3532138,d1beb8bc-cca9-43d8-beb8-bccca9d3d88f,5,1.00515E-4
2023-03-01,3532138,335b2f33-37a8-4318-9b2f-3337a8731800,6,1.00515E-4
2023-03-01,3532138,89fb840b-8f73-4e84-bb84-0b8f73de84bb,7,1.00515E-4
2023-03-01,3532138,e18855e5-acf8-4268-8855-e5acf8526801,8,1.00515E-4
2023-03-01,3532138,747abd53-5b37-4823-babd-535b378823b1,9,1.00515E-4
2023-03-01,3532138,5c4ec910-47a9-415e-8ec9-1047a9215e0c,10,1.00515E-4
2023-03-01,3532143,9f0de8a5-e2ab-4a64-8de8-a5e2ab6a647d,1,7.6558E-5
2023-03-01,3532143,f50ac6c8-6a31-4684-8ac6-c86a312684d1,3,7.6558E-5
2023-03-01,3532143,f80503b0-d372-4a95-8503-b0d3727a959b,4,7.6558E-5
2023-03-01,3532143,513ea93d-8a30-453a-bea9-3d8a30353a8e,5,7.6558E-5
